"filename", "language", "C++", "comment", "blank", "total"
"d:\code\project\PBL1-NIM-Game\src\ai\ai.cpp", "C++", 159, 23, 45, 227
"d:\code\project\PBL1-NIM-Game\src\app\game_app.cpp", "C++", 85, 0, 14, 99
"d:\code\project\PBL1-NIM-Game\src\assets\game_assets.cpp", "C++", 147, 1, 41, 189
"d:\code\project\PBL1-NIM-Game\src\audio\audio_manager.cpp", "C++", 15, 0, 5, 20
"d:\code\project\PBL1-NIM-Game\src\common\array.cpp", "C++", 112, 0, 38, 150
"d:\code\project\PBL1-NIM-Game\src\common\common_utils.cpp", "C++", 6, 0, 4, 10
"d:\code\project\PBL1-NIM-Game\src\common\random.cpp", "C++", 14, 2, 12, 28
"d:\code\project\PBL1-NIM-Game\src\game\game.cpp", "C++", 61, 0, 19, 80
"d:\code\project\PBL1-NIM-Game\src\game\game_settings.cpp", "C++", 33, 0, 8, 41
"d:\code\project\PBL1-NIM-Game\src\main.cpp", "C++", 24, 0, 9, 33
"d:\code\project\PBL1-NIM-Game\src\overlays\overlay_confirm_exit.cpp", "C++", 89, 0, 18, 107
"d:\code\project\PBL1-NIM-Game\src\overlays\overlay_pause.cpp", "C++", 61, 0, 12, 73
"d:\code\project\PBL1-NIM-Game\src\overlays\overlay_result.cpp", "C++", 47, 0, 12, 59
"d:\code\project\PBL1-NIM-Game\src\render\theme.cpp", "C++", 4, 1, 2, 7
"d:\code\project\PBL1-NIM-Game\src\screens\screen_credits.cpp", "C++", 16, 0, 6, 22
"d:\code\project\PBL1-NIM-Game\src\screens\screen_help.cpp", "C++", 16, 0, 6, 22
"d:\code\project\PBL1-NIM-Game\src\screens\screen_main_menu.cpp", "C++", 104, 0, 21, 125
"d:\code\project\PBL1-NIM-Game\src\screens\screen_match_setup.cpp", "C++", 237, 0, 44, 281
"d:\code\project\PBL1-NIM-Game\src\screens\screen_play.cpp", "C++", 75, 3, 19, 97
"d:\code\project\PBL1-NIM-Game\src\screens\screen_settings.cpp", "C++", 15, 0, 6, 21
"d:\code\project\PBL1-NIM-Game\src\ui\ui.cpp", "C++", 260, 61, 123, 444
"d:\code\project\PBL1-NIM-Game\src\ui\ui_button.cpp", "C++", 44, 0, 14, 58
"d:\code\project\PBL1-NIM-Game\src\ui\ui_layout.cpp", "C++", 6, 0, 3, 9
"d:\code\project\PBL1-NIM-Game\src\ui\ui_styles.cpp", "C++", 25, 0, 4, 29
"d:\code\project\PBL1-NIM-Game\src\ui\ui_text_input.cpp", "C++", 61, 0, 15, 76
"Total", "-", 1716, 91, 500, 2307
